Name,Price,Review_Summary,Number_of_Reviews,Release_Date,Developers,Genres,Supported_VR,Steam_ID,Average_Review,Operating_Systems,Release_Year
Tetris® Effect: Connected,39.99,Overwhelmingly Positive,6889,"Aug 17, 2021","Monstars Inc., Resonair, Stage Games","Casual, Indie",True,1003590,Overwhelmingly Positive,Windows,2021
Keep Talking and Nobody Explodes,14.99,Overwhelmingly Positive,11775,"Oct 8, 2015",Steel Crate Games,Indie,True,341800,Overwhelmingly Positive,"Windows, macOS, Linux",2015
Wrench,29.99,Very Positive,1353,"Dec 19, 2018",Missing Digit,"Indie, Racing, Simulation, Early Access",True,936720,Very Positive,Windows,2018
RealFlight Evolution,69.99,Very Positive,446,"Oct 27, 2022","Horizon Hobby, LLC","Indie, Racing, Simulation",True,2069310,Very Positive,Windows,2022
Pavlov,24.99,Very Positive,36426,"Feb 27, 2017",Vankrupt Games,"Action, Indie, Early Access",True,555160,Very Positive,Windows,2017
IL-2 Sturmovik: Battle of Stalingrad,49.99,Mostly Positive,7531,"Oct 22, 2014",1C Game Studios,"Action, Simulation",True,307960,Mostly Positive,Windows,2014
UNDERDOGS,29.99,Overwhelmingly Positive,1349,"Jan 25, 2024",One Hamsa,"Action, Adventure, Indie, Simulation",True,2441700,Overwhelmingly Positive,Windows,2024
Automobilista 2,39.99,Very Positive,6770,"Jun 30, 2020",Reiza Studios,"Action, Indie, Racing, Simulation, Sports",True,1066890,Very Positive,"Windows, Linux",2020
Riven,34.99,Very Positive,1831,"Jun 25, 2024",Cyan Worlds Inc,"Adventure, Casual, Indie",True,1712350,Very Positive,"Windows, macOS",2024
BONEWORKS,29.99,Very Positive,33152,"Dec 10, 2019",Stress Level Zero,"Action, Adventure, Indie, Simulation",True,823500,Very Positive,Windows,2019
HARD BULLET,19.99,Very Positive,4128,"Oct 22, 2020",GexagonVR,"Action, Adventure, Indie, Simulation, Early Access",True,1294760,Very Positive,Windows,2020
Derail Valley,39.99,Overwhelmingly Positive,5707,"Jan 25, 2019",Altfuture,"Adventure, Indie, Simulation, Early Access",True,588030,Overwhelmingly Positive,Windows,2019
Waltz of the Wizard,19.99,Very Positive,460,"Jul 10, 2019",Aldin Dynamics,"Action, Adventure, Indie, RPG, Simulation",True,1094390,Very Positive,Windows,2019
Tactical Assault VR,14.99,Very Positive,1676,"Mar 26, 2023",HammerFire Interactive,"Action, Simulation, Early Access",True,2314160,Very Positive,Windows,2023
